created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2025-08-10T17:01:24-05:00,1,0.04360,436,0.04308,432.18759,0.00000,0,0.01484,148.43829,,,,
2025-08-10T17:01:56-05:00,2,0.04220,422,0.04174,418.12500,0.00000,0,0.01484,125.00063,,,,
2025-08-10T17:02:25-05:00,3,0.04300,430,0.04266,426.56256,0.00000,0,0.01250,148.43829,,,,
2025-08-10T17:02:56-05:00,4,0.04460,446,0.04455,444.84384,0.00000,0,0.01367,125.00063,,,,
2025-08-10T17:03:26-05:00,5,0.04450,445,0.04406,440.62494,0.00000,0,0.01484,125.00063,,,,
2025-08-10T17:03:57-05:00,6,0.04500,450,0.04427,441.32812,0.00000,0,0.01250,136.71852,,,,
2025-08-10T17:04:27-05:00,7,0.04310,431,0.04245,423.04684,0.00000,0,0.01367,125.00063,,,,
2025-08-10T17:04:56-05:00,8,0.04440,444,0.04526,451.17184,0.00000,0,0.01367,125.00063,,,,
2025-08-10T17:05:31-05:00,9,0.04840,484,0.04779,479.29681,0.00000,0,0.01484,136.71852,,,,
2025-08-10T17:06:04-05:00,10,0.04460,446,0.04392,439.21878,0.00000,0,0.01250,148.43829,,,,
2025-08-10T17:06:37-05:00,11,0.04570,457,0.04533,453.98434,0.00000,0,0.01484,136.71852,,,,
2025-08-10T17:07:06-05:00,12,0.04520,452,0.04462,445.54678,0.00000,0,0.01484,125.00063,,,,
2025-08-10T17:07:35-05:00,13,0.04370,437,0.04308,432.18759,0.00000,0,0.01367,148.43829,,,,
2025-08-10T17:08:05-05:00,14,0.04270,427,0.04223,420.93753,0.00000,0,0.01484,125.00063,,,,
2025-08-10T17:09:09-05:00,15,0.04180,418,0.04132,413.90634,0.00000,0,0.01367,125.00063,,,,
2025-08-10T17:09:38-05:00,16,0.04170,417,0.04160,414.60928,0.00000,0,0.01250,136.71852,,,,
2025-08-10T17:10:36-05:00,17,0.04280,428,0.04230,423.04684,0.00000,0,0.01367,136.71852,,,,
2025-08-10T17:20:35-05:00,18,0.04410,441,0.04378,437.10947,0.00000,0,0.01250,136.71852,,,,
2025-08-10T17:22:43-05:00,19,0.04240,424,0.04202,420.23434,0.00000,0,0.01250,148.43829,,,,
2025-08-10T17:24:48-05:00,20,0.04430,443,0.04364,436.40628,0.00000,0,0.01367,136.71852,,,,
2025-08-10T17:29:12-05:00,21,0.04250,425,0.04202,420.23434,0.00000,0,0.01367,136.71852,,,,
2025-08-10T17:39:37-05:00,22,,,,,0.00000,0,0.01250,148.43829,,,,
2025-08-10T17:41:44-05:00,23,0.04000,400,0.04153,416.01566,0.00000,0,0.01016,89.84320,,,,
2025-08-10T17:44:40-05:00,24,0.04730,473,0.04723,472.96881,0.00000,0,0.01016,101.56297,,,,
2025-08-10T17:45:07-05:00,25,0.04630,463,0.04561,456.09369,0.00000,0,0.00898,101.56297,,,,
2025-08-10T17:45:40-05:00,26,0.04430,443,0.04378,437.81241,0.00000,0,0.00898,89.84320,,,,
2025-08-10T17:47:15-05:00,27,0.04080,408,0.04034,404.06241,0.00000,0,0.01367,148.43829,,,,
2025-08-10T17:47:47-05:00,28,0.04110,411,0.04076,406.87494,0.00000,0,0.01367,136.71852,,,,
2025-08-10T17:51:24-05:00,29,0.04340,434,0.04294,429.37509,0.00000,0,0.01484,148.43829,,,,
2025-08-10T17:56:02-05:00,30,0.04450,445,0.04399,440.62494,0.00000,0,0.01016,89.84320,,,,
2025-08-10T17:58:02-05:00,31,0.04140,414,0.04104,411.09381,0.00000,0,0.01016,89.84320,,,,
2025-08-10T18:02:10-05:00,32,,,,,0.00000,0,0.01484,148.43829,,,,
2025-08-10T18:04:10-05:00,33,0.05650,565,0.05707,569.99994,0.00000,0,0.01367,148.43829,,,,
2025-08-10T18:06:11-05:00,34,0.04760,476,0.04666,467.34375,0.00000,0,0.01484,148.43829,,,,
2025-08-10T18:08:10-05:00,35,0.04660,466,0.04596,462.42191,0.00000,0,0.01484,136.71852,,,,
2025-08-10T18:10:10-05:00,36,0.04430,443,0.04378,436.40628,0.00000,0,0.01367,125.00063,,,,
2025-08-10T18:12:10-05:00,37,0.04800,480,0.04702,470.15628,0.00000,0,0.01367,136.71852,,,,
2025-08-10T18:14:10-05:00,38,0.05040,504,0.04955,495.46875,0.00000,0,0.01367,148.43829,,,,
2025-08-10T18:18:10-05:00,39,0.18760,1876,0.19397,1942.49988,0.00000,0,0.01250,148.43829,,,,
2025-08-10T18:18:35-05:00,40,0.19200,1920,0.19031,1903.12512,0.00000,0,0.01367,148.43829,,,,
2025-08-10T18:18:59-05:00,41,0.18150,1815,0.18300,1829.29688,0.00000,0,0.01250,148.43829,,,,
2025-08-10T18:20:12-05:00,42,0.04880,488,0.04793,478.59384,0.00000,0,0.01367,136.71852,,,,
2025-08-10T18:20:37-05:00,43,0.04640,464,0.04526,453.28116,0.00000,0,0.01367,125.00063,,,,
2025-08-10T18:21:01-05:00,44,0.04440,444,0.04392,440.62494,0.00000,0,0.01367,136.71852,,,,
2025-08-10T18:22:22-05:00,45,0.04650,465,0.04512,451.87503,0.00000,0,0.01484,136.71852,,,,
2025-08-10T18:22:46-05:00,46,0.04410,441,0.04336,434.29694,0.00000,0,0.01484,125.00063,,,,
2025-08-10T18:23:10-05:00,47,0.04310,431,0.04259,430.07803,0.00000,0,0.01484,148.43829,,,,
2025-08-10T18:23:37-05:00,48,0.04490,449,0.04455,446.24997,0.00000,0,0.01484,136.71852,,,,
2025-08-10T18:23:58-05:00,49,0.04490,449,0.04448,444.84384,0.00000,0,0.01367,136.71852,,,,
2025-08-10T18:24:22-05:00,50,0.04460,446,0.04427,443.43747,0.00000,0,0.01484,148.43829,,,,
2025-08-10T18:24:50-05:00,51,0.04450,445,0.04399,439.92197,0.00000,0,0.01367,136.71852,,,,
